text,url
"MoneycontrolClosing Bell: Bloodbath on Street with Sensex plunging 1,406 pts, Nifty below 13,350 on renewed COVID fearsAll the sectoral indices ended in the red. Nifty PSU Bank index shed 7 percent, while Metal, Infra, Bank, Auto and Energy indices fell 4-5 percent..21 Dec 2020",https://www.moneycontrol.com/news/business/share-market-live-updates-stock-market-today-december-21-latest-news-bse-nse-sensex-nifty-ril-infosys-pnb-lupin-snowman-logistics-emami-pvr-india-grid-exide-6250761.html
"Business StandardSensex cracks 1,407 pts as Covid-19 fears resurface; Nifty holds 13,300InterGlobe Aviation and SpiceJet sunk up to 10 per cent on the BSE after India suspended flights from the UK till December 31..21 Dec 2020",https://www.business-standard.com/article/markets/market-live-markets-today-sensex-nifty-us-stimulus-uk-covid-sci-antony-ipo-120122100105_1.html
"mintSensex ends over 500 points higher, Nifty near 13,750 as banks, financials soar | Stock Market NewsWelcome to the Mint live blog. Track this space for the latest stock market updates. 24 Dec 2020, 03:53:20 PM IST. Sensex zooms 529 pts, Nifty ends 1%....24 Dec 2020",https://www.livemint.com/market/stock-market-news/live-blog-sensex-nifty-live-today-24-12-2020-nifty-nse-bse-news-updates-11608776790335.html
"The Economic TimesStock market update: 104 stocks hit 52-week highs on NSEOverall, 32 shares were trading in green in Nifty50 index, while 18 were trading in red in the afternoon trade..24 Dec 2020",https://m.economictimes.com/markets/stocks/news/stock-market-update-104-stocks-hit-52-week-highs-on-nse/articleshow/79936955.cms
"mintSensex zooms 437 points, Nifty ends above 13,600; broader indices outperform | Stock Market NewsHaving opened in the red, Indian benchmark indices quickly reversed losses to surge higher on Wednesday. The Sensex today hit a high of 46513.32 and a low....23 Dec 2020",https://www.livemint.com/market/stock-market-news/live-blog-sensex-nifty-live-today-23-12-2020-nifty-nse-bse-news-updates-11608690428718.html
"The Economic TimesStock market update: 45 stocks hit 52-week highs on NSEOverall, 33 shares were trading in green in Nifty50 index, while 17 were trading in red in the afternoon trade..23 Dec 2020",https://m.economictimes.com/markets/stocks/news/stock-market-update-45-stocks-hit-52-week-highs-on-nse/articleshow/79914147.cms
"mintIndices recover; Sensex reclaims 46K, Nifty ends above 13,450 as IT stocks shine | Stock Market NewsIndia's benchmark equity indices--Sensex and Nifty--staged a sharp recovery to end up 1% each, led by gains in IT and pharma stocks..22 Dec 2020",https://www.livemint.com/market/stock-market-news/live-blog-sensex-nifty-live-today-22-12-2020-nifty-nse-bse-news-updates-11608604647998.html
"Business StandardMARKETS: Sensex leaps 895 pts from day's low, settles 453 pts up at 46,007The broader Nifty50, on the other hand, clawed back above the 13400-mark and closed at 13466 level, up 138 points or 1.03 per cent..22 Dec 2020",https://www.business-standard.com/article/markets/market-live-markets-today-sensex-nifty-us-stimulus-uk-covid-tata-motors-120122200127_1.html
"UpstoxMarket recap for 21 December 2020Nifty50 13,328 ▽ -432 (-3.1%). Sensex 45,553 ▽ -1406 (-3%). Today, the markets witnessed the biggest single-day fall since May 2020. All of the Nifty50....21 Dec 2020",https://upstox.com/market-talk/market-recap-for-21-december-2020/
"MoneycontrolSensex, Nifty see biggest single day fall since May 2020 on new coronavirus strain discovery in UKIn May this year, the Sensex was down little more than 2000 points and majority of biggest falls were seen in 2020 itself due to COVID-19 pandemic..21 Dec 2020",https://www.moneycontrol.com/news/business/markets/sensex-nifty-see-biggest-single-day-fall-since-may-2020-on-new-coronavirus-strain-discovery-in-uk-6254391.html
"MoneycontrolClosing Bell: Bloodbath on Street with Sensex plunging 1,406 pts, Nifty below 13,350 on renewed COVID fearsAll the sectoral indices ended in the red. Nifty PSU Bank index shed 7 percent, while Metal, Infra, Bank, Auto and Energy indices fell 4-5 percent..21 Dec 2020",https://www.moneycontrol.com/news/business/share-market-live-updates-stock-market-today-december-21-latest-news-bse-nse-sensex-nifty-ril-infosys-pnb-lupin-snowman-logistics-emami-pvr-india-grid-exide-6250761.html
"Business StandardSensex cracks 1,407 pts as Covid-19 fears resurface; Nifty holds 13,300InterGlobe Aviation and SpiceJet sunk up to 10 per cent on the BSE after India suspended flights from the UK till December 31..21 Dec 2020",https://www.business-standard.com/article/markets/market-live-markets-today-sensex-nifty-us-stimulus-uk-covid-sci-antony-ipo-120122100105_1.html
"mintSensex ends over 500 points higher, Nifty near 13,750 as banks, financials soar | Stock Market NewsWelcome to the Mint live blog. Track this space for the latest stock market updates. 24 Dec 2020, 03:53:20 PM IST. Sensex zooms 529 pts, Nifty ends 1%....24 Dec 2020",https://www.livemint.com/market/stock-market-news/live-blog-sensex-nifty-live-today-24-12-2020-nifty-nse-bse-news-updates-11608776790335.html
